Adjusted_ID,GPA_Fall ,Sex,Cohort ,Athlete_Team,Major_Fall,Total_Attendance,TW1_Attendance,Social_1,Emotional_1,Academic_1,Athletic_1,TW2_Attendance,Social_2,Emotional_2,Academic_2,Athletic_2,TW3_Attendance,Social_3,Emotional_3,Academic_3,Athletic_3,TW4_Attendance,Social_4,Emotional_4,Academic_4,Athletic_4
2324048,3.09,2,2,Volleyball,0,4,1,5,4,2,4,1,5,5,2,4,1,4,4,4,4,1,5,5,4,4
2324049,3.45,2,2,Soccer,3,4,1,4,2,2,4,1,4,4,2,2,1,4,2,2,2,1,5,4,2,4
2324050,0.5,1,2,Ice Hockey,3,4,1,2,2,2,2,1,2,2,2,2,1,2,1,1,2,1,2,2,2,1
2324051,3.52,1,2,Track/Cross Country,2,4,1,4,4,4,5,1,4,5,4,5,1,5,4,4,5,1,4,4,4,4
2324052,2.82,2,2,Track/Cross Country,3,3,1,5,4,4,5,1,5,5,4,5,1,5,5,4,5,0,NA,NA,NA,NA
2324053,3.7,2,2,Track/Cross Country,3,3,1,4,2,2,4,1,4,4,2,4,1,4,4,2,5,0,NA,NA,NA,NA
2324054,3.53,2,2,Softball,1,1,1,5,4,4,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2324055,3.57,1,2,Track/Cross Country,1,4,1,4,4,3,4,1,4,4,1,2,1,4,4,2,2,1,4,4,2,3
2324056,3.94,2,2,Swimming and Diving,3,4,1,4,2,2,2,1,4,1,4,1,1,2,2,4,2,1,2,3,4,2
2324057,1.37,2,2,Volleyball,3,4,1,4,4,3,4,1,4,4,2,4,1,2,2,2,2,1,4,4,4,4
2324058,3.55,1,2,Basketball,0,1,1,5,4,5,5,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2324059,3.08,2,2,Lacrosse,3,3,1,5,5,3,5,0,NA,NA,NA,NA,1,5,5,4,5,1,5,5,4,5
2324060,3.71,2,2,Field Hockey,3,4,1,4,2,4,4,1,5,4,4,4,1,5,5,5,4,1,5,4,4,4
2324061,3.23,1,2,Soccer,2,3,1,4,4,3,3,1,4,4,4,2,0,NA,NA,NA,NA,1,4,4,4,4
2324062,3.49,2,2,Field Hockey,3,4,1,4,4,4,4,1,4,4,4,4,1,5,4,4,4,1,5,4,4,4
2324063,2.74,2,2,Equestrian,3,4,1,5,4,5,5,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4
2324064,3.44,2,2,Volleyball,1,2,1,5,4,2,4,1,4,4,2,2,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2324065,2.9,1,2,Basketball,2,2,1,4,4,2,4,1,4,4,2,5,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2324066,2.86,1,2,Soccer,2,3,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4,0,NA,NA,NA,NA
2324067,3.28,2,2,Swimming and Diving,3,4,1,4,4,4,4,1,4,2,2,4,1,4,4,4,4,1,4,4,4,5
2324068,3.1,2,2,Basketball,3,2,1,4,4,4,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,4,3,4,4
2324069,3.11,1,2,Swimming and Diving,2,1,1,4,4,4,3,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2324070,2.91,2,2,Lacrosse,2,3,1,2,1,1,2,1,2,2,2,2,1,2,1,4,4,0,NA,NA,NA,NA
2324071,1.85,1,2,Track/Cross Country,2,4,1,5,5,4,4,1,5,5,2,5,1,5,5,4,5,1,5,5,4,4
2324072,2.87,1,2,Swimming and Diving,0,4,1,5,5,2,4,1,5,5,4,5,1,5,5,5,5,1,5,5,5,5
2324073,3.12,2,2,Track/Cross Country,1,4,1,5,4,4,4,1,4,4,4,4,1,4,4,4,4,1,5,4,4,5
2324074,2.95,2,2,Field Hockey,1,1,1,5,4,2,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2324075,2.42,2,2,Soccer,2,1,1,5,4,2,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2324076,3.24,2,2,Volleyball,3,4,1,4,4,3,4,1,4,4,4,4,1,4,2,2,4,1,4,4,4,4
2324077,3.34,1,2,Soccer,2,4,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5
2324078,3.51,2,2,Lacrosse,1,3,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5,0,NA,NA,NA,NA
2324079,3.9,2,2,Track/Cross Country,3,3,1,2,4,4,4,1,4,4,4,4,0,NA,NA,NA,NA,1,4,4,4,4
2324080,3.33,2,2,Lacrosse,3,4,1,4,4,3,4,1,4,4,4,4,1,4,4,4,4,1,4,2,4,4
2324081,3.33,1,2,Lacrosse,2,3,1,5,5,5,5,1,5,5,2,4,0,NA,NA,NA,NA,1,5,5,2,4
2324082,3.52,2,2,Track/Cross Country,3,1,1,2,2,3,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2324083,2.34,1,2,Lacrosse,2,4,1,3,3,2,3,1,1,4,2,2,1,4,4,2,4,1,2,5,2,2
2324084,3.54,2,2,Soccer,1,3,1,4,4,4,4,1,4,4,4,4,0,NA,NA,NA,NA,1,4,4,4,4
2324085,3.2,1,2,Track/Cross Country,1,4,1,4,5,4,5,1,5,4,4,4,1,5,5,5,5,1,4,4,4,4
2324086,3.18,1,2,Basketball,0,3,1,5,4,4,4,0,NA,NA,NA,NA,1,5,5,2,2,1,5,5,4,4
2324087,2.2,1,2,Ice Hockey,2,4,1,4,5,4,5,1,4,4,2,5,1,5,5,4,5,1,5,5,4,5
2324088,2.3,1,2,Track/Cross Country,1,4,1,4,4,3,5,1,5,4,4,4,1,5,4,4,4,1,5,4,2,5
2324089,3.75,2,2,Track/Cross Country,3,4,1,4,3,2,3,1,4,2,2,4,1,4,4,2,4,1,4,3,4,5
2324090,2.75,1,2,Swimming and Diving,2,3,1,5,4,3,5,1,5,4,4,5,1,5,4,4,4,0,NA,NA,NA,NA
2324091,3.94,2,2,Track/Cross Country,2,4,1,4,4,4,4,1,5,5,4,4,1,5,5,4,5,1,5,5,5,5
2324092,3.31,1,2,Swimming and Diving,3,3,1,5,5,5,5,1,5,5,2,1,0,NA,NA,NA,NA,1,5,5,4,3
2324093,2.57,2,2,Track/Cross Country,1,1,1,1,2,4,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2324094,2.88,1,2,Lacrosse,2,3,1,5,5,4,4,1,4,4,4,4,0,NA,NA,NA,NA,1,4,4,4,4
2324095,3.44,2,2,Field Hockey,3,3,1,4,4,4,4,1,4,4,4,2,1,4,4,4,4,0,NA,NA,NA,NA
2324096,4,2,2,Track/Cross Country,2,1,1,5,4,4,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2324097,2.3,1,2,Track/Cross Country,2,3,1,5,5,4,4,1,4,4,4,4,0,NA,NA,NA,NA,1,4,5,4,5
2324098,2.71,1,2,Swimming and Diving,3,4,1,4,4,2,4,1,5,5,4,5,1,2,2,2,2,1,4,4,4,4
2324099,1.84,1,2,Ice Hockey,2,2,1,3,3,3,3,1,5,5,5,5,0,NA,NA,NA,NA,0,NA,NA,NA,NA
23240100,3.7,1,2,Basketball,0,4,1,5,5,4,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5
23240101,3.17,1,2,Lacrosse,2,2,1,4,4,4,4,1,5,4,4,5,0,NA,NA,NA,NA,0,NA,NA,NA,NA
23240102,3.57,2,2,Softball,3,4,1,5,5,4,4,1,5,4,4,4,1,5,5,5,5,1,5,5,5,5
23240103,3.76,2,2,Lacrosse,3,4,1,5,4,4,4,1,4,4,4,4,1,5,4,4,4,1,5,4,4,4
23240104,3.2,2,2,Tennis,2,4,1,2,2,2,4,1,2,4,4,5,1,2,2,2,2,1,2,2,4,2
23240105,3.6,1,2,Basketball,2,4,1,5,4,4,5,1,5,4,4,4,1,5,4,4,4,1,4,4,4,4
23240106,3.58,2,2,Lacrosse,1,4,1,4,4,4,4,1,4,4,4,4,1,5,4,4,4,1,5,5,4,5
23240107,3.57,2,2,Tennis,3,4,1,4,4,3,4,1,4,1,2,4,1,4,4,4,4,1,4,4,4,4
23240108,2.54,2,2,Softball,3,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4
23240109,3.73,2,2,Lacrosse,3,4,1,4,4,3,4,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5
23240110,3.78,1,2,Track/Cross Country,3,4,1,4,2,2,2,1,4,4,2,4,1,4,4,2,2,1,4,4,4,2
23240111,3.26,2,2,Swimming and Diving,3,4,1,5,4,5,5,1,4,4,4,4,1,5,5,4,4,1,5,5,4,4
23240112,3.35,2,2,Field Hockey,3,4,1,4,3,2,2,1,4,2,1,4,1,4,4,4,4,1,4,4,4,4
23240113,1.08,2,2,Field Hockey,2,4,1,4,3,2,4,1,4,2,2,2,1,2,2,2,2,1,2,2,2,2
23240114,3.47,2,2,Softball,3,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4
23240115,3.12,1,2,Track/Cross Country,3,4,1,5,5,5,5,1,5,4,4,4,1,5,5,4,4,1,5,5,4,5
23240116,2.85,2,2,Swimming and Diving,3,4,1,5,5,4,5,1,5,5,4,5,1,4,4,4,5,1,5,5,4,5
23240117,2.77,2,2,Swimming and Diving,3,4,1,5,5,5,5,1,4,4,4,4,1,5,5,5,5,1,5,5,5,5
23240118,3.64,1,2,Swimming and Diving,2,3,1,5,5,4,5,0,NA,NA,NA,NA,1,5,5,4,5,1,5,5,5,5
23240119,3.53,2,2,Basketball,1,3,1,2,4,4,4,1,4,4,4,4,0,NA,NA,NA,NA,1,4,4,5,4
23240120,3.39,1,2,Track/Cross Country,3,4,1,2,4,3,5,1,4,5,4,5,1,4,4,5,5,1,4,4,4,5
23240121,3.75,2,2,Swimming and Diving,3,4,1,4,4,4,4,1,4,4,2,2,1,4,4,4,4,1,4,4,4,4
23240122,3.93,1,2,Ice Hockey,2,4,1,2,3,2,3,1,2,4,2,4,1,4,4,4,4,1,2,2,2,2
23240123,2.13,2,2,Track/Cross Country,3,4,1,2,3,2,4,1,2,2,2,4,1,2,2,4,4,1,2,3,2,4
23240124,3.83,1,2,Track/Cross Country,2,3,1,4,4,4,5,1,4,4,2,4,0,NA,NA,NA,NA,1,4,4,4,5
23240125,3.87,2,2,Track/Cross Country,3,4,1,4,4,4,2,1,4,5,4,4,1,4,4,2,2,1,2,4,2,4
23240126,2.08,1,2,Track/Cross Country,3,4,1,5,2,4,2,1,4,4,4,2,1,4,4,4,2,1,5,2,2,2
23240127,3.05,1,2,Track/Cross Country,1,4,1,5,4,4,4,1,4,4,4,4,1,5,5,4,5,1,5,5,5,5
23240128,3.52,1,2,Soccer,3,3,1,3,4,2,4,0,NA,NA,NA,NA,1,4,4,4,4,1,4,4,4,4
23240129,3.34,2,2,Lacrosse,2,2,1,4,4,4,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,4,4,4,4
23240130,1.62,1,2,Track/Cross Country,3,3,1,5,5,4,4,1,5,5,1,4,0,NA,NA,NA,NA,1,5,4,4,4
23240131,2.98,2,2,Track/Cross Country,1,4,1,3,3,4,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4
23240132,3.78,1,2,Ice Hockey,3,2,1,4,5,4,5,1,4,5,4,5,0,NA,NA,NA,NA,0,NA,NA,NA,NA
23240133,4,2,2,Tennis,3,3,1,3,2,2,4,1,2,2,2,2,1,2,2,2,2,0,NA,NA,NA,NA
23240134,3.65,1,2,Track/Cross Country,3,4,1,4,4,4,4,1,4,4,4,4,1,5,5,5,5,1,4,4,4,4
23240135,3.91,2,2,Track/Cross Country,NA,3,0,NA,NA,NA,NA,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4
23240136,2.7,2,2,Track/Cross Country,NA,2,0,NA,NA,NA,NA,1,4,4,4,4,1,4,4,4,4,0,NA,NA,NA,NA
23240137,3.7,1,2,Swimming and Diving,NA,3,0,NA,NA,NA,NA,1,4,4,4,5,1,4,4,4,4,1,5,5,5,5
23240138,3.37,2,2,Swimming and Diving,NA,1,0,NA,NA,NA,NA,1,5,4,4,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA
23240139,3.67,1,2,Ice Hockey,NA,2,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,2,2,2,2,1,5,4,4,4
23240140,3.92,2,2,Lacrosse,NA,1,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,4,4,5,5
23240141,2.88,1,2,Lacrosse,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
23240142,2.29,1,2,Basketball,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
23240143,2.62,1,2,Basketball,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
